depot,truck,timestamp,speed,distance,socpercent,chargingstatus,ignitionstatus,energytype,accumulatedkwh
Performance Team (Commerce),VNR 1,2023-09-11 07:17:38+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.41
Performance Team (Commerce),VNR 1,2023-09-11 07:17:38+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 07:17:38+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.160000000000004
Performance Team (Commerce),VNR 1,2023-09-11 07:17:38+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.72
Performance Team (Commerce),VNR 1,2023-09-11 07:19:22+00,0,NULL,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:19:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:19:22+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.41
Performance Team (Commerce),VNR 1,2023-09-11 07:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 07:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.160000000000004
Performance Team (Commerce),VNR 1,2023-09-11 07:19:22+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.72
Performance Team (Commerce),VNR 1,2023-09-11 07:21:25+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:21:25+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:22:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:22:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:25:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:25:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:28:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:28:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:31:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:31:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:34:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:34:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:37:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:37:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:40:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:40:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:43:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:43:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:46:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:46:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 07:47:59+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 09:28:34+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.41
Performance Team (Commerce),VNR 1,2023-09-11 09:28:34+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 09:28:34+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.160000000000004
Performance Team (Commerce),VNR 1,2023-09-11 09:28:34+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.72
